       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
    m11k13                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.349550233
    m11k14                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       34.90997887
    m11k15                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.490395846
    m11k16                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      36.608140671
    m11k17                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       36.14967474
    m11k18                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      36.894129216
    m11k19                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.599253458
    m11k20                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.052221298
     m12k1                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                16                 0      12.982328691
     m12k2                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      15.505395395
     m12k3                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      15.633525953
     m12k4                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      18.173869261
     m12k5                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      22.369284616
     m12k6                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      24.180423649
     m12k7                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      26.042859005
     m12k8                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      28.566793004
     m12k9                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      29.836055197
    m12k10                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      31.788276052
    m12k11                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      31.645033191
    m12k12                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       33.04139962
    m12k13                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       34.30520277
    m12k14                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.354451096
    m12k15                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.554181973
    m12k16                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.888702801
    m12k17                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      36.028688053
    m12k18                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.672062245
    m12k19                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.228871392
    m12k20                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.665705242
